Horizon,RMSE_Reconciled,RMSE_Base,Absolute_Improvement,Percentage_Improvement
1,45.18796270395664,105.09916970699187,59.91120700303523,57.004453194124096
2,54.26098062526048,143.7511156297964,89.49013500453592,62.25352381612168
3,60.02220713169018,170.36673249686706,110.34452536517688,64.76882179283801
4,53.43231194595979,188.43424726770152,135.00193532174174,71.64405477203383
5,53.93197202368817,202.31302785545287,148.3810558317647,73.34231384138985
6,61.31661063210805,210.6677058406858,149.35109520857776,70.89415751340749
7,68.4573596674351,212.28609855174773,143.82873888431263,67.75231155762766
8,71.14340438203352,221.9382426327826,150.79483825074908,67.94450404847673
9,69.60240593132754,221.46304820650343,151.8606422751759,68.57154884528335
10,75.19616263826786,223.54994590094466,148.3537832626768,66.3627014825638
11,81.72995123731981,223.57836357462324,141.84841233730344,63.44460620848896
12,87.57711173255485,222.5877145416615,135.01060280910667,60.65501103109483
13,91.73987129393672,221.64833080886558,129.90845951492886,58.61016820693005
14,92.12442118017317,221.11059307816478,128.9861718979916,58.335591299505815
15,89.31546892007644,223.80394339143152,134.48847447135506,60.092093299775186
16,85.67658553996017,220.04822309055052,134.37163755059035,61.06463195355866
17,84.90074308097952,203.9452649429021,119.04452186192258,58.37081919761711
18,83.53934944759058,205.64516948103875,122.10582003344817,59.37694541602485
19,87.60241893231512,195.83527372561622,108.2328547933011,55.26729313583496
20,87.55070754795521,184.8098244146077,97.25911686665249,52.62659448691351
21,91.45698671083333,168.6346457560336,77.17765904520026,45.766193950947894
22,97.39115509713092,164.72243359312932,67.3312784959984,40.87559722576053
23,102.26804388364518,158.33298672887105,56.06494284522587,35.4095151007486
24,105.96160982856122,161.44720440125118,55.48559457268996,34.36764035553654
25,108.17411587356877,177.51489735482335,69.34078148125458,39.06195058246501
26,108.901716411134,198.26629013878787,89.36457372765386,45.07300442505783
27,104.75304654811153,215.56526245540783,110.8122159072963,51.40541414005379
28,103.00251979309596,230.23288984094432,127.23037004784837,55.261596262699506
29,98.98138934560909,240.66024400189434,141.67885465628524,58.87090127572962
30,97.74510205954107,248.8849784684773,151.13987640893623,60.72679730973758
31,94.33150101969348,247.76087309888032,153.42937207918686,61.92639304187221
32,96.20814802845298,254.7289312991912,158.5207832707382,62.23116567962516
33,98.46623227513443,251.0470127448535,152.58078046971906,60.77777178125254
34,97.88364147548212,253.38848130287766,155.50483982739553,61.37012978167667
35,97.25177786121819,255.5512402856939,158.2994624244757,61.94431388691544
36,96.72459830432862,252.74146365810307,156.01686535377445,61.72982584481145
37,101.50521313356194,259.57611273771687,158.07089960415493,60.895780407912305
38,99.84316867295679,253.42311767795684,153.57994900500006,60.602185945863575
39,102.70295553687662,255.4216240882827,152.7186685514061,59.79081414759979
40,103.35243907451,256.9738130000943,153.6213739255843,59.78094504342663
41,105.72544475615331,249.51471053971795,143.78926578356464,57.62757052381332
42,105.74825717598814,238.8746184664987,133.12636129051054,55.73064319061635
43,106.50252879353472,233.3895708695237,126.88704207598899,54.367057449591485
44,107.56603807893954,221.85556169740096,114.28952361846142,51.51528442381183
45,107.88210441193199,215.51242700964943,107.63032259771744,49.94158531419553
46,109.9475553971864,206.92924592634427,96.98169052915786,46.86707772746543
47,113.11059664370494,205.66304363655846,92.55244699285352,45.001982542089294
48,115.45905756595627,205.36582994906183,89.90677238310556,43.77883721230825
